rank,id,lon,lat,area,source,
132,5040591010,141.9145833,-34.11041667,495471.96,hydrosheds,
133,6040262220,-54.74375,-2.40625,494551.24,hydrosheds,
134,2040292580,45.98541667,56.12708333,493758.08,hydrosheds,
135,7040049270,-97.14791667,25.95625,475503.2,hydrosheds,
136,7040707710,-114.54375,32.72708333,466505.24,hydrosheds,
137,2040816390,47.43958333,31.00625,463867.12,hydrosheds,
138,4040274280,59.71041667,44.90208333,463252.68,hydrosheds,
139,3040215990,87.98125,65.77291667,456464.2,hydrosheds,
140,3040264710,126.4270833,64.38125,455223.4,hydrosheds,
141,1041259940,26.91458333,-5.660416667,453089.76,hydrosheds,
142,1040040210,17.88125,16.97291667,450953.28,hydrosheds,
143,7040426310,-82.41041667,44.53125,450208.6,hydrosheds,
144,7040569650,-90.11458333,38.81041667,446350.76,hydrosheds,
145,1040027410,-16.47708333,16.06458333,443989.52,hydrosheds,
146,5040491500,137.20625,-28.42291667,442135.84,hydrosheds,
147,4040548370,110.4270833,37.04375,441119.72,hydrosheds,
148,2040006590,39.25208333,47.09375,437307.76,hydrosheds,
149,3040496490,71.18541667,57.70208333,428450.84,hydrosheds,
150,1041624330,20.20625,-28.51875,428259.72,hydrosheds,
151,1041533130,24.84375,-21.19375,424641.64,hydrosheds,
152,4041108500,105.51875,15.32291667,420814.64,hydrosheds,
153,4040794590,70.65208333,29.10625,419633.24,hydrosheds,
154,1040023300,0.652083333,5.79375,412648.8,hydrosheds,
155,2040555600,20.45208333,44.83541667,412149.84,hydrosheds,
156,5040533450,145.3479167,-30.40625,409833.92,hydrosheds,
157,7040686450,-91.10208333,33.77708333,409027.04,hydrosheds,
158,1040012590,33.51458333,-25.17291667,407138.96,hydrosheds,
159,4040482720,63.50208333,39.17708333,405848.4,hydrosheds,
160,4040050230,74.60208333,46.38541667,404800.52,hydrosheds,
161,1040571730,-15.69375,16.47291667,393519.68,hydrosheds,
162,4040012990,113.25625,22.39791667,389565.48,hydrosheds,
163,4040416190,86.19375,41.03958333,386911.24,hydrosheds,
164,6040345180,-48.70625,-5.36875,386072.96,hydrosheds,
165,5204255,145.937,-30.0879,386000,grdc,
166,3040481930,68.21458333,58.16041667,385683.48,hydrosheds,
167,2040501810,40.25208333,47.25208333,379756.52,hydrosheds,
168,4040023810,95.03958333,16.36041667,376349.6,hydrosheds,
169,1159300,21.23923533,-28.45790547,364560,grdc,
170,1041473880,25.26041667,-17.78958333,362355.2,hydrosheds,
171,5040491380,137.2104167,-28.41875,360229.64,hydrosheds,
172,3040483980,92.98541667,58.09375,359329.2,hydrosheds,
173,6040102330,-67.45208333,6.189583333,352421.56,hydrosheds,
174,6040510890,-43.14375,-11.10208333,347822.64,hydrosheds,
175,1041626210,20.54375,-28.74375,347209.52,hydrosheds,
176,2040041840,40.53541667,64.52708333,346666.12,hydrosheds,
177,1041584780,33.51875,-24.73125,345110.48,hydrosheds,
178,3040010470,151.7229167,70.97291667,341227.44,hydrosheds,
179,8040141480,-145.33125,66.60625,340353.2,hydrosheds,
180,1159301,22.74591331,-29.65171083,339310,grdc,
181,1040909900,6.75625,7.78125,338967.72,hydrosheds,
