id,lon,lat,area,source
1040840410,18.08958333,9.452083333,322359.9,hydrosheds
1040843030,31.56458333,9.385416667,1197395.76,hydrosheds
1040843040,31.56875,9.385416667,214881.24,hydrosheds
1040873640,-0.985416667,8.65625,154022.88,hydrosheds
1040873650,-0.98125,8.65625,111517.46,hydrosheds
1040909890,6.752083333,7.78125,1730224.8,hydrosheds
1040909900,6.75625,7.78125,338967.72,hydrosheds
1040915980,0.089583333,7.61875,301109.66,hydrosheds
1040915990,0.097916667,7.61875,75691.83,hydrosheds
1041014460,44.96875,5.03125,144786.02,hydrosheds
1041014470,44.97291667,5.03125,45572.19,hydrosheds
1041115240,43.72708333,1.222916667,52927.06,hydrosheds
1041115400,43.73541667,1.21875,221362.62,hydrosheds
1041139430,42.76458333,0.177083333,214441.44,hydrosheds
1041139500,42.76875,0.172916667,298252.84,hydrosheds
1041144990,42.58958333,-0.05625,513313.96,hydrosheds
1041145090,42.58541667,-0.060416667,230634.3,hydrosheds
1041156950,17.70625,-0.572916667,648280.48,hydrosheds
1041156960,17.71458333,-0.572916667,1693384.48,hydrosheds
1041174950,16.77291667,-1.347916667,285042.84,hydrosheds
1041174960,16.77708333,-1.347916667,2355752.48,hydrosheds
1041213630,16.18541667,-3.185416667,2708456.64,hydrosheds
1041213640,16.18958333,-3.185416667,894486.56,hydrosheds
1041259940,26.91458333,-5.660416667,453089.76,hydrosheds
1041259950,26.91875,-5.660416667,266514,hydrosheds
1041431480,30.41875,-15.61875,149540.06,hydrosheds
1041431680,30.41875,-15.62291667,859018.4,hydrosheds
1041438780,28.91458333,-15.94375,156563.16,hydrosheds
1041438860,28.91458333,-15.94791667,683379.04,hydrosheds
1041472390,35.31875,-17.69375,161058.34,hydrosheds
1041472430,35.31875,-17.69791667,1205882.24,hydrosheds
1041473880,25.26041667,-17.78958333,362355.2,hydrosheds
1041473950,25.26041667,-17.79375,155286.28,hydrosheds
1041477980,20.48125,-17.94791667,107643.18,hydrosheds
1041478080,20.48125,-17.95208333,60249.9,hydrosheds
1041479540,20.78541667,-18.01875,58302.46,hydrosheds
1041479650,20.78541667,-18.02291667,169166.18,hydrosheds
1041515680,23.37291667,-20.13541667,251264.58,hydrosheds
1041515780,23.36875,-20.14375,129704.1,hydrosheds
1041533130,24.84375,-21.19375,424641.64,hydrosheds
1041533240,24.84791667,-21.19791667,136520.94,hydrosheds
1041548220,29.36458333,-22.18958333,29066.43,hydrosheds
1041548260,29.36458333,-22.19375,155088.56,hydrosheds
1041548750,29.02708333,-22.22708333,19413.7,hydrosheds
1041548760,29.03125,-22.22708333,133109.78,hydrosheds
1041576090,32.64375,-24.11041667,261202.82,hydrosheds
1041576130,32.64375,-24.11458333,81485.68,hydrosheds
1041584690,33.51875,-24.72708333,59362.62,hydrosheds
1041584780,33.51875,-24.73125,345110.48,hydrosheds
1041620200,17.17708333,-28.09791667,83035.63,hydrosheds
1041620260,17.17708333,-28.10208333,796731.2,hydrosheds
1041624310,20.20625,-28.51458333,316423.82,hydrosheds
1041624330,20.20625,-28.51875,428259.72,hydrosheds
1041626200,20.53958333,-28.74375,78755.26,hydrosheds
1041626210,20.54375,-28.74375,347209.52,hydrosheds
1041629370,23.63541667,-29.06875,185499.6,hydrosheds
1041629430,23.63541667,-29.07291667,97116.78,hydrosheds
1041923540,14.88958333,12.16458333,604000.8,hydrosheds
2040000010,27.19375,37.54375,24363.86,hydrosheds
2040003550,30.64791667,41.12708333,62798.63,hydrosheds
2040003560,32.05208333,41.58125,13339.19,hydrosheds
2040004130,35.96458333,41.73125,75678.81,hydrosheds
2040004280,36.65625,41.38125,36321.92,hydrosheds
2040005120,41.57708333,41.60625,22011.39,hydrosheds
2040005130,41.63541667,42.21041667,13510.89,hydrosheds
2040005690,37.41875,45.35208333,52399.19,hydrosheds
2040006590,39.25208333,47.09375,437307.76,hydrosheds
2040006600,34.81041667,46.14791667,19206.92,hydrosheds
2040007930,32.37708333,46.52708333,509823.48,hydrosheds
2040007940,30.47291667,46.07291667,73157.84,hydrosheds
2040008490,29.69791667,45.24791667,786750,hydrosheds
2040009230,26.03541667,40.74375,52512.14,hydrosheds
2040012730,12.51458333,44.96041667,73289.64,hydrosheds
2040014550,12.24791667,41.73958333,16667.74,hydrosheds
2040016230,4.80625,43.38125,95895.46,hydrosheds
2040018360,-6.347916667,36.79791667,56432.85,hydrosheds
2040018460,-7.402083333,37.17708333,66926.54,hydrosheds
2040018840,-8.99375,38.93958333,70756.03,hydrosheds
2040019150,-8.647916667,41.14791667,97238.72,hydrosheds
2040019160,-8.772916667,41.92291667,16651.44,hydrosheds
2040020320,-0.55625,44.99791667,55941.24,hydrosheds
2040021030,-1.972916667,47.28958333,116722.86,hydrosheds
2040021040,-2.447916667,47.49791667,10459.26,hydrosheds
2040022150,0.510416667,49.48541667,73249.17,hydrosheds
2040022160,4.66875,51.72291667,32770.7,hydrosheds
2040023010,4.152083333,51.96041667,163008.46,hydrosheds
2040023020,8.497916667,53.33541667,44776.19,hydrosheds
2040024170,9.864583333,53.54375,138382.28,hydrosheds
2040026060,14.60208333,53.55625,118791.1,hydrosheds
2040026550,18.93541667,54.31041667,192632.1,hydrosheds
2040026560,20.37291667,54.68958333,14116.67,hydrosheds
2040026920,21.25208333,55.34375,92523.86,hydrosheds
2040026930,23.85208333,56.96875,17504.11,hydrosheds
2040027320,24.07291667,57.03958333,85612.96,hydrosheds
2040027330,28.04375,59.47291667,56229.28,hydrosheds
2040028310,30.25625,59.91875,285331.22,hydrosheds
2040028660,26.91458333,60.49791667,26798.28,hydrosheds
2040028670,21.70208333,61.54791667,24568.21,hydrosheds
2040029940,25.45625,65.01458333,25804.17,hydrosheds
2040029950,25.33541667,65.31458333,16478.76,hydrosheds
